id,stock,Nasdaq Traded,security_name,Listing Exchange,Market Category,ETF,Round Lot Size,Test Issue,Financial Status,CQS Symbol,NASDAQ Symbol,NextShares
370,BDR,Y,"Blonder Tongue Laboratories, Inc. Common Stock",A, ,N,100.0,N,,BDR,BDR,N
371,BDSI,Y,"BioDelivery Sciences International, Inc. - Common Stock",Q,Q,N,100.0,N,N,,BDSI,N
372,BDX,Y,"Becton, Dickinson and Company Common Stock",N, ,N,100.0,N,,BDX,BDX,N
373,BEAT,Y,"BioTelemetry, Inc. - Common Stock",Q,Q,N,100.0,N,N,,BEAT,N
374,BECN,Y,"Beacon Roofing Supply, Inc. - Common Stock",Q,Q,N,100.0,N,N,,BECN,N
375,BELFA,Y,Bel Fuse Inc. - Class A Common Stock,Q,Q,N,100.0,N,N,,BELFA,N
376,BEN,Y,"Franklin Resources, Inc. Common Stock",N, ,N,100.0,N,,BEN,BEN,N
377,BEP,Y,Brookfield Renewable Partners L.P. ,N, ,N,100.0,N,,BEP,BEP,N
378,BERY,Y,"Berry Global Group, Inc. Common Stock",N, ,N,100.0,N,,BERY,BERY,N
379,BFAM,Y,Bright Horizons Family Solutions Inc. Common Stock,N, ,N,100.0,N,,BFAM,BFAM,N
380,BFIN,Y,BankFinancial Corporation - Common Stock,Q,Q,N,100.0,N,N,,BFIN,N
381,BFK,Y,BlackRock Municipal Income Trust,N, ,N,100.0,N,,BFK,BFK,N
382,BFOR,Y,Barron's 400,P, ,Y,100.0,N,,BFOR,BFOR,N
383,BFS,Y,"Saul Centers, Inc. Common Stock",N, ,N,100.0,N,,BFS,BFS,N
384,BFY,Y,BlackRock New York Municipal Income Trust II,N, ,N,100.0,N,,BFY,BFY,N
385,BFZ,Y,BlackRock California Municipal Income Trust,N, ,N,100.0,N,,BFZ,BFZ,N
386,BG,Y,Bunge Limited Bunge Limited,N, ,N,100.0,N,,BG,BG,N
387,BGB,Y,Blackstone / GSO Strategic Credit Fund Common Shares,N, ,N,100.0,N,,BGB,BGB,N
388,BGCP,Y,"BGC Partners, Inc. - Class A Common Stock",Q,Q,N,100.0,N,N,,BGCP,N
389,BGFV,Y,Big 5 Sporting Goods Corporation - Common Stock,Q,Q,N,100.0,N,N,,BGFV,N
390,BGG,Y,Briggs & Stratton Corporation Common Stock,N, ,N,100.0,N,,BGG,BGG,N
391,BGH,Y,Barings Global Short Duration High Yield Fund Common Shares of Beneficial Interests,N, ,N,100.0,N,,BGH,BGH,N
392,BGI,Y,Birks Group Inc. Common Stock,A, ,N,100.0,N,,BGI,BGI,N
393,BGR,Y,BlackRock Energy and Resources Trust,N, ,N,100.0,N,,BGR,BGR,N
394,BGSF,Y,BG Staffing Inc Common Stock,N, ,N,100.0,N,,BGSF,BGSF,N
395,BGT,Y,BlackRock Floating Rate Income Trust,N, ,N,100.0,N,,BGT,BGT,N
396,BGY,Y,Blackrock Enhanced International Dividend Trust,N, ,N,100.0,N,,BGY,BGY,N
397,BH,Y,Biglari Holdings Inc. Class B Common Stock,N, ,N,10.0,N,,BH,BH,N
398,BHB,Y,"Bar Harbor Bankshares, Inc. Common Stock",A, ,N,100.0,N,,BHB,BHB,N
399,BHE,Y,"Benchmark Electronics, Inc. Common Stock",N, ,N,100.0,N,,BHE,BHE,N
400,BHK,Y,Blackrock Core Bond Trust Blackrock Core Bond Trust,N, ,N,100.0,N,,BHK,BHK,N
401,BHLB,Y,"Berkshire Hills Bancorp, Inc. Common Stock",N, ,N,100.0,N,,BHLB,BHLB,N
402,BHP,Y,BHP Group Limited American Depositary Shares (Each representing two Ordinary Shares),N, ,N,100.0,N,,BHP,BHP,N
403,BIB,Y,ProShares Ultra Nasdaq Biotechnology,Q,G,Y,100.0,N,N,,BIB,N
404,BICK,Y,First Trust BICK Index Fund,Q,G,Y,100.0,N,N,,BICK,N
405,BIDU,Y,"Baidu, Inc. - American Depositary Shares, each representing one tenth Class A ordinary share",Q,Q,N,100.0,N,N,,BIDU,N
406,BIF,Y,"Boulder Growth & Income Fund, Inc.",N, ,N,100.0,N,,BIF,BIF,N
407,BIG,Y,"Big Lots, Inc. Common Stock",N, ,N,100.0,N,,BIG,BIG,N
408,BIIB,Y,Biogen Inc. - Common Stock,Q,Q,N,100.0,N,N,,BIIB,N
409,BIL,Y,SPDR Bloomberg Barclays 1-3 Month T-Bill ETF,P, ,Y,100.0,N,,BIL,BIL,N
410,BIO,Y,"Bio-Rad Laboratories, Inc. Class A Common Stock",N, ,N,100.0,N,,BIO,BIO,N
411,BIOC,Y,"Biocept, Inc. - Common Stock",Q,S,N,100.0,N,D,,BIOC,N
412,BIOL,Y,"Biolase, Inc. - Common Stock",Q,S,N,100.0,N,D,,BIOL,N
413,BIP,Y,Brookfield Infrastructure Partners LP Limited Partnership Units,N, ,N,100.0,N,,BIP,BIP,N
414,BIS,Y,ProShares UltraShort Nasdaq Biotechnology,Q,G,Y,100.0,N,N,,BIS,N
415,BIT,Y,BlackRock Multi-Sector Income Trust Common Shares of Beneficial Interest,N, ,N,100.0,N,,BIT,BIT,N
416,BITA,Y,Bitauto Holdings Limited American Depositary Shares (each representing one ordinary share),N, ,N,100.0,N,,BITA,BITA,N
417,BIV,Y,Vanguard Intermediate-Term Bond ETF,P, ,Y,100.0,N,,BIV,BIV,N
418,BIZD,Y,VanEck Vectors BDC Income ETF,P, ,Y,100.0,N,,BIZD,BIZD,N
419,BJK,Y,VanEck Vectors Gaming ETF,Q,G,Y,100.0,N,N,,BJK,N
420,BK,Y,The Bank of New York Mellon Corporation Common Stock,N, ,N,100.0,N,,BK,BK,N
421,BKCC,Y,BlackRock Capital Investment Corporation - Common Stock,Q,Q,N,100.0,N,N,,BKCC,N
422,BKE,Y,"Buckle, Inc. (The) Common Stock",N, ,N,100.0,N,,BKE,BKE,N
423,BKEP,Y,"Blueknight Energy Partners L.P., L.L.C. - Common Units representing Limited Partner Interests",Q,G,N,100.0,N,N,,BKEP,N
424,BKEPP,Y,"Blueknight Energy Partners L.P., L.L.C. - Series A Preferred Units",Q,G,N,100.0,N,N,,BKEPP,N
425,BKF,Y,iShares MSCI BRIC Index Fund,P, ,Y,100.0,N,,BKF,BKF,N
426,BKH,Y,Black Hills Corporation Common Stock,N, ,N,100.0,N,,BKH,BKH,N
427,BKK,Y,Blackrock Municipal 2020 Term Trust,N, ,N,100.0,N,,BKK,BKK,N
428,BKN,Y,BlackRock Investment Quality Municipal Trust Inc. (The),N, ,N,100.0,N,,BKN,BKN,N
429,BKSC,Y,Bank of South Carolina Corp. - Common Stock,Q,S,N,100.0,N,N,,BKSC,N
430,BKT,Y,BlackRock Income Trust Inc. (The),N, ,N,100.0,N,,BKT,BKT,N
431,BKU,Y,"BankUnited, Inc. Common Stock",N, ,N,100.0,N,,BKU,BKU,N
432,BLCM,Y,"Bellicum Pharmaceuticals, Inc. - Common Stock",Q,G,N,100.0,N,N,,BLCM,N
433,BLDP,Y,"Ballard Power Systems, Inc. - Common Shares",Q,G,N,100.0,N,N,,BLDP,N
434,BLDR,Y,"Builders FirstSource, Inc. - Common Stock",Q,Q,N,100.0,N,N,,BLDR,N
435,BLE,Y,BlackRock Municipal Income Trust II,N, ,N,100.0,N,,BLE,BLE,N
436,BLIN,Y,"Bridgeline Digital, Inc. - Common Stock",Q,S,N,100.0,N,N,,BLIN,N
